Estimate summary,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,
0,19871.712,238460.54,USD,,,,,
,,* Includes upfront cost,,,,,,
,,,,,,,,
,,,,,,,,
Detailed Estimate,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,36.5,438,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (1)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,33.3,399.6,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,537.7,6452.4,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (5 TB per month), Number of requests (HTTPS) (100000 per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,250.03,3000.36,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,578.95,6947.4,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Amazon EC2,0,3532.032,42384.38,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Enable monitoring (disabled), Advance EC2 instance (r6g.4xlarge), Pricing strategy (On-Demand), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,14903.2,178838.4,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (9 TB), Quantity (2), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Changes been made,,,,,,,,
1/ Changing ec2 instance type to r6g.4xlarge ,,,,,,,,
2/ Changing RDS instance type to db.m4.10xlarge and increase Storage amount to 9TB,,,,,,,,
